"","id","标题","标题链接","居室数","厅堂数","卫生间数","总面积","建造年份","居民楼总层数","小区户数","小区绿化率","物业费用","小区均价","装修","楼层分布","物业类型","产权性质","产权年限","房本年限","区","街道","小区","地址","南","南北","近地铁","车位充足","户型方正","多人关注","有电梯","价格"
"1","666dec7c2f1fc60588d8c025","通用昱祥苑 大两房 南北通透  诚心出售 价格可议 出行方便","https://shanghai.anjuke.com/prop/view/S3485409373758467",2,2,1,81,2019,20,878,30,0.9,36195,"毛坯","中层","普通住宅","动迁配套房","70年产权","未知","青浦","青浦周边","徐泾北城通用昱祥苑","尚茂路366弄","False","True","True","False","False","False","True",306
"2","666dc3702f1fc60588d88729","临地铁 高楼层采光充足 商品住宅 双卫生间 出行方便 精装修","https://shanghai.anjuke.com/prop/view/S3587646557854731",3,2,2,139,2008,18,860,38.9,2.3,127798,"精装修","高层","普通住宅","商品房住宅","70年产权","满五年","徐汇","康健","海上名邸","桂林东街28弄","False","True","True","False","False","False","False",1700
"3","666dfa7f2f1fc60588d8d414","景观房，环境优美，房型正气，闹中取静","https://shanghai.anjuke.com/prop/view/S3048629256150016",1,1,1,52,2013,34,1216,42.65,1.7,75249,"精装修","高层","普通住宅","商品房住宅","70年产权","未知","杨浦","东外滩","明月坊(杨浦)","河间路555弄","True","False","True","False","False","False","False",342
"4","666dcf462f1fc60588d88fd9","华东理工 南北通透 近地铁 商圈成熟 出行方便 中间好楼层","https://shanghai.anjuke.com/prop/view/S3478668597126148",1,1,1,43,1994,6,1440,30,0.7,58255,"精装修","中层","普通住宅","商品房住宅","未知","满五年","徐汇","华东理工","梅陇六村","梅陇六村1-74号","False","True","True","False","False","False","False",209
"5","666d2f50dacf8deaac142f83","静安新城五区1室1厅，边套全明景观房，诚意出售","https://shanghai.anjuke.com/prop/view/S3064854371998729",1,1,1,53,1997,7,1162,40,1.65,61888,"精装修","中层","普通住宅","其它","70年产权","满五年","闵行","静安新城","静安新城五区","漕宝路1467弄5区","True","False","True","False","False","False","False",349
"6","666d7f8b2f1fc60588d7e268","（新上）塘桥站地铁口，电梯房，总价低，  三楼采光好","https://shanghai.anjuke.com/prop/view/S3376311916026891",1,1,1,34,1990,6,1115,30,1.9,62376,"精装修","中层","普通住宅","商品房住宅","70年产权","满五年","浦东","塘桥","浦建小区","南泉路1350弄,浦建路83弄,南泉路1320弄","False","True","True","False","False","False","False",214
"7","666d2399dacf8deaac141754","新上好房源，近明珠，近百联，保利装修三房，满五  ，诚心出售","https://shanghai.anjuke.com/prop/view/S3266561098194949",3,2,2,97,2017,13,808,35,2.38,41535,"毛坯","高层","普通住宅","其它","70年产权","满五年","浦东","临港新城","保利蔚蓝林语(公寓住宅)","竹柏路500弄","True","False","False","True","False","False","False",335
"8","666d44bedacf8deaac14593b","必看好房 双轨交汇  精装小两房 拎包入住 价可谈 看房方便","https://shanghai.anjuke.com/prop/view/S3160844119515144",2,2,1,86,2006,6,648,46,1.2,48730,"精装修","中层","普通住宅","商品房住宅","70年产权","满五年","闵行","老闵行","京浦花园","沧源路755弄1-125号单","False","True","True","False","False","False","False",450
"9","666daaa32f1fc60588d84b2e","冬日的阳光   暖人心 新上一房可改两房 全屋精装","https://shanghai.anjuke.com/prop/view/S3287130540088322",1,1,1,58,2006,6,3676,40,0.57,32323,"精装修","高层","普通住宅","商品房住宅","70年产权","未知","松江","泗泾","新凯家园(一期)","古楼公路1858弄","True","False","True","False","False","False","False",225
"10","666d3246dacf8deaac143541","交通便捷 环境优美 近地铁 南北通透 正规商品房 中间楼层","https://shanghai.anjuke.com/prop/view/S3563744406577159",2,2,1,90,2010,6,1378,46,0.45,56540,"精装修","中层","普通住宅","商品房住宅","未知","未知","浦东","张江","玉兰香苑(三期)","盛夏路1107弄","False","True","True","False","False","False","False",435
"11","666db6e02f1fc60588d8695a","单价1字头  南北通透客厅 一梯两户 看房方便 位置好","https://shanghai.anjuke.com/prop/view/S3587452149914635",2,2,1,83,1994,6,864,35,0.5,23633,"简单装修","高层","普通住宅","商品房住宅","70年产权","满五年","嘉定","嘉定城区","南苑一村","裕民路488弄","False","True","False","False","False","False","False",162
"12","666e171b2f1fc60588d8fd4d","黄浦区豫园板块次新豪宅 露香园 大平层 一梯一户 带车位","https://shanghai.anjuke.com/prop/view/S3356112933232652",4,2,4,275,2017,35,209,35,8.2,200798,"精装修","低层","普通住宅","商品房住宅","70年产权","满五年","黄浦","老西门","露香园(88弄公寓住宅)","露香园路88弄","False","True","True","True","False","False","False",4900
